task_index,category,label,objn,freq_bin,phrase_freq_in_category,source_image,condition_image,orig_source_path,orig_condition_path,pt1,pt2,bbox,orig_resolution,annot_source_size,annot_condition_size
66,mask,Ford Mustang GT,Ford-Mustang-GT,mid,2,images/mask/0066_mask_source.jpg,images/mask/0066_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00016/000164950.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00016/000164950_0_Ford-Mustang-GT.jpg,"[605, 727]","[1411, 822]","[63, 373, 1953, 1150]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
67,mask,boulders,boulders,mid,1,images/mask/0067_mask_source.jpg,images/mask/0067_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00004/000040356.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00004/000040356_7_boulders.jpg,"[3133, 1311]","[3534, 1406]","[2668, 571, 3999, 2119]","{""height"": 2248, ""width"": 4000}",1024x575,1024x575
68,mask,dip,dip,mid,1,images/mask/0068_mask_source.jpg,images/mask/0068_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00016/000161124.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00016/000161124_5_dip.jpg,"[1295, 475]","[1438, 570]","[1231, 423, 1504, 596]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
69,mask,blue jeans,blue-jeans,mid,6,images/mask/0069_mask_source.jpg,images/mask/0069_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00037/000373445.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00037/000373445_7_blue-jeans.jpg,"[798, 2377]","[1292, 2472]","[602, 1743, 1488, 3079]","{""height"": 3774, ""width"": 6708}",1023x576,1023x576
70,mask,food stands,food-stands,mid,3,images/mask/0070_mask_source.jpg,images/mask/0070_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00025/000253517.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00025/000253517_1_food-stands.jpg,"[-62, 1076]","[507, 1171]","[0, 941, 443, 1280]","{""height"": 1281, ""width"": 1920}",1024x683,1024x683
71,mask,Ferrari,Ferrari,tail,1,images/mask/0071_mask_source.jpg,images/mask/0071_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00005/000053717.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00005/000053717_1_Ferrari.jpg,"[881, 800]","[1192, 895]","[227, 555, 1847, 1113]","{""height"": 1283, ""width"": 1920}",1024x684,1024x684
72,mask,red handbag,red-handbag,tail,1,images/mask/0072_mask_source.jpg,images/mask/0072_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00037/000379238.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00037/000379238_0_red-handbag.jpg,"[641, 998]","[1024, 1070]","[725, 870, 941, 1170]","{""height"": 1473, ""width"": 2000}",1024x754,1024x754
73,mask,gray beanie,gray-beanie,tail,1,images/mask/0073_mask_source.jpg,images/mask/0073_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00012/000120449.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00012/000120449_15_gray-beanie.jpg,"[355, 193]","[894, 286]","[472, 54, 778, 398]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
74,mask,rear design,rear-design,tail,1,images/mask/0074_mask_source.jpg,images/mask/0074_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00027/000276050.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00027/000276050_8_rear-design.jpg,"[688, 218]","[1230, 313]","[0, 0, 1919, 506]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
75,mask,pendant necklace,pendant-necklace,tail,1,images/mask/0075_mask_source.jpg,images/mask/0075_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00036/000365274.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00036/000365274_12_pendant-necklace.jpg,"[185, 1106]","[1018, 1201]","[268, 1002, 936, 1279]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
76,mask,feathers,feathers,tail,1,images/mask/0076_mask_source.jpg,images/mask/0076_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00012/000124276.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00012/000124276_4_feathers.jpg,"[1823, 833]","[2212, 928]","[1486, 193, 2551, 1541]","{""height"": 2279, ""width"": 3418}",1024x682,1024x682
77,mask,roll pillow,roll-pillow,tail,1,images/mask/0077_mask_source.jpg,images/mask/0077_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00039/000395356.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00039/000395356_1_roll-pillow.jpg,"[1004, 1217]","[1453, 1312]","[938, 1028, 1520, 1475]","{""height"": 2700, ""width"": 4805}",1024x575,1024x575
78,mask,stew,stew,tail,1,images/mask/0078_mask_source.jpg,images/mask/0078_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00018/000181516.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00018/000181516_5_stew.jpg,"[3012, 2375]","[3224, 2470]","[950, 1406, 5286, 3412]","{""height"": 4032, ""width"": 6048}",1024x682,1024x682
79,mask,plateaus,plateaus,tail,1,images/mask/0079_mask_source.jpg,images/mask/0079_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00008/000086532.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00008/000086532_3_plateaus.jpg,"[1364, 1430]","[1762, 1525]","[628, 1260, 2499, 1669]","{""height"": 1671, ""width"": 2500}",1024x684,1024x684
80,mask,insect,insect,tail,1,images/mask/0080_mask_source.jpg,images/mask/0080_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00012/000124652.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00012/000124652_1_insect.jpg,"[1264, 867]","[1545, 962]","[980, 588, 1830, 1215]","{""height"": 1600, ""width"": 2560}",1024x640,1024x640
81,mask,marina,marina,tail,1,images/mask/0081_mask_source.jpg,images/mask/0081_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00011/000114084.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00011/000114084_4_marina.jpg,"[861, 656]","[1190, 751]","[7, 20, 2047, 1360]","{""height"": 1365, ""width"": 2048}",1024x682,1024x682
82,mask,frog character,frog-character,tail,1,images/mask/0082_mask_source.jpg,images/mask/0082_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00011/000110643.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00011/000110643_3_frog-character.jpg,"[-45, 551]","[644, 646]","[89, 345, 509, 826]","{""height"": 1536, ""width"": 1782}",1024x882,1024x882
83,mask,faucets,faucets,tail,1,images/mask/0083_mask_source.jpg,images/mask/0083_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00031/000314917.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00031/000314917_13_faucets.jpg,"[751, 952]","[940, 1018]","[791, 868, 902, 1075]","{""height"": 1706, ""width"": 2560}",1024x682,1024x682
84,mask,front windshield,front-windshield,tail,1,images/mask/0084_mask_source.jpg,images/mask/0084_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00024/000242390.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00024/000242390_7_front-windshield.jpg,"[1056, 550]","[1458, 616]","[1143, 474, 1372, 664]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
85,mask,Mason jar,Mason-jar,tail,1,images/mask/0085_mask_source.jpg,images/mask/0085_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00029/000297778.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00029/000297778_2_Mason-jar.jpg,"[379, 876]","[852, 971]","[405, 521, 828, 1300]","{""height"": 1357, ""width"": 2048}",1024x678,1024x678
86,mask,glass display cases,glass-display-cases,tail,1,images/mask/0086_mask_source.jpg,images/mask/0086_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00004/000041141.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00004/000041141_77_glass-display-cases.jpg,"[2326, 317]","[3252, 412]","[2311, 0, 3268, 702]","{""height"": 2370, ""width"": 4592}",1024x528,1024x528
87,mask,gravy boat,gravy-boat,tail,1,images/mask/0087_mask_source.jpg,images/mask/0087_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00024/000249785.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00024/000249785_21_gravy-boat.jpg,"[886, 770]","[1395, 865]","[844, 587, 1439, 1021]","{""height"": 2250, ""width"": 3000}",1024x768,1024x768
88,mask,white mug,white-mug,tail,1,images/mask/0088_mask_source.jpg,images/mask/0088_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00025/000259381.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00025/000259381_1_white-mug.jpg,"[1874, 166]","[2368, 261]","[1802, 0, 2441, 400]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
89,mask,white sleeveless dress,white-sleeveless-dress,tail,1,images/mask/0089_mask_source.jpg,images/mask/0089_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00023/000231612.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00023/000231612_2_white-sleeveless-dress.jpg,"[289, 819]","[1239, 908]","[498, 453, 1031, 1247]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
90,mask,screen,screen,tail,1,images/mask/0090_mask_source.jpg,images/mask/0090_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00003/000038610.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00003/000038610_4_screen.jpg,"[1702, 643]","[2016, 738]","[1677, 569, 2042, 786]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
91,mask,rabbit statue,rabbit-statue,tail,1,images/mask/0091_mask_source.jpg,images/mask/0091_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00037/000378475.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00037/000378475_11_rabbit-statue.jpg,"[563, 1200]","[1177, 1295]","[675, 1054, 1066, 1413]","{""height"": 1414, ""width"": 2121}",1024x682,1024x682
92,mask,recipe card,recipe-card,tail,1,images/mask/0092_mask_source.jpg,images/mask/0092_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00027/000270427.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00027/000270427_7_recipe-card.jpg,"[689, 1173]","[1231, 1268]","[419, 715, 1502, 1699]","{""height"": 1704, ""width"": 1960}",1024x890,1024x890
93,mask,instrument cluster,instrument-cluster,tail,1,images/mask/0093_mask_source.jpg,images/mask/0093_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00006/000069909.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00006/000069909_0_instrument-cluster.jpg,"[105, 458]","[974, 553]","[158, 106, 922, 878]","{""height"": 1283, ""width"": 1920}",1024x684,1024x684
94,mask,license plate 'BLKNITE,license-plate-'BLKNITE,tail,1,images/mask/0094_mask_source.jpg,images/mask/0094_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00018/000183095.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00018/000183095_1_license-plate-'BLKNITE.jpg,"[771, 1035]","[1087, 1086]","[836, 995, 1022, 1100]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
95,mask,store's name,store's-name,tail,1,images/mask/0095_mask_source.jpg,images/mask/0095_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00020/000201471.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00020/000201471_8_store's-name.jpg,"[653, 272]","[1276, 367]","[672, 214, 1259, 398]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
96,mask,plush toy monkey,plush-toy-monkey,tail,1,images/mask/0096_mask_source.jpg,images/mask/0096_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00011/000119833.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00011/000119833_4_plush-toy-monkey.jpg,"[1458, 1121]","[1883, 1184]","[1552, 996, 1790, 1283]","{""height"": 1536, ""width"": 2304}",1024x682,1024x682
97,mask,group of children,group-of-children,tail,1,images/mask/0097_mask_source.jpg,images/mask/0097_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00039/000397900.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00039/000397900_76_group-of-children.jpg,"[266, 892]","[1093, 987]","[26, 471, 1335, 1382]","{""height"": 1437, ""width"": 2165}",1024x679,1024x679
98,mask,knitted tie,knitted-tie,tail,1,images/mask/0098_mask_source.jpg,images/mask/0098_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00023/000238747.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00023/000238747_0_knitted-tie.jpg,"[476, 811]","[958, 906]","[576, 356, 858, 1334]","{""height"": 1335, ""width"": 2000}",1024x683,1024x683
99,mask,serving utensil,serving-utensil,tail,1,images/mask/0099_mask_source.jpg,images/mask/0099_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00006/000064550.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00006/000064550_2_serving-utensil.jpg,"[765, 790]","[1451, 885]","[43, 25, 2174, 1623]","{""height"": 1682, ""width"": 2244}",1023x767,1023x767
100,mask,flamenco dancer,flamenco-dancer,tail,1,images/mask/0100_mask_source.jpg,images/mask/0100_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00039/000390270.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00039/000390270_32_flamenco-dancer.jpg,"[834, 942]","[1634, 1037]","[871, 427, 1597, 1525]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
101,add,buildings,buildings,head,32,images/add/0101_add_source.jpg,images/add/0101_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00019/000195807.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00019_000195807_0_buildings.png,"[783, 2821]","[1196, 2916]","[395, 2313, 1586, 3397]","{""height"": 3754, ""width"": 4720}",1024x814,1024x814
102,add,city,city,head,3,images/add/0102_add_source.jpg,images/add/0102_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00028/000281344.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00028_000281344_0_city.png,"[1195, 685]","[1362, 780]","[0, 0, 2559, 1439]","{""height"": 1440, ""width"": 2560}",1024x576,1024x576
103,add,fountain,fountain,head,5,images/add/0103_add_source.jpg,images/add/0103_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00025/000255576.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00025_000255576_0_fountain.png,"[1704, 893]","[2065, 984]","[1785, 812, 1985, 1039]","{""height"": 1393, ""width"": 2500}",1024x570,1024x570
104,add,pier,pier,head,4,images/add/0104_add_source.jpg,images/add/0104_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00002/000023597.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00002_000023597_0_pier.png,"[1970, 2374]","[2149, 2469]","[1253, 1970, 2868, 2847]","{""height"": 2848, ""width"": 4288}",1024x680,1024x680
105,add,armchair,armchair,head,17,images/add/0105_add_source.jpg,images/add/0105_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00014/000141422.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00014_000141422_0_armchair.png,"[1105, 847]","[1416, 925]","[1172, 791, 1351, 954]","{""height"": 1366, ""width"": 2048}",1024x683,1024x683
106,add,greenery,greenery,head,9,images/add/0106_add_source.jpg,images/add/0106_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00024/000244561.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00024_000244561_0_greenery.png,"[424, 900]","[831, 995]","[0, 216, 1256, 1652]","{""height"": 1799, ""width"": 2700}",1024x682,1024x682
107,add,Mercedes Benz G Class SUV,Mercedes-Benz-G-Class-SUV,head,6,images/add/0107_add_source.jpg,images/add/0107_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00013/000130034.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00013_000130034_0_Mercedes-Benz-G-Class-SUV.png,"[337, 549]","[1743, 644]","[229, 162, 1851, 1005]","{""height"": 1281, ""width"": 1920}",1024x683,1024x683
108,add,sofa,sofa,head,14,images/add/0108_add_source.jpg,images/add/0108_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00016/000164509.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00016_000164509_0_sofa.png,"[1789, 3083]","[1995, 3178]","[0, 2258, 3785, 3976]","{""height"": 3976, ""width"": 5964}",1024x682,1024x682
109,add,stars,stars,head,4,images/add/0109_add_source.jpg,images/add/0109_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00016/000168995.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00016_000168995_0_stars.png,"[1159, 761]","[1398, 856]","[0, 3, 2559, 1588]","{""height"": 1600, ""width"": 2560}",1024x640,1024x640
110,add,dirt bike,dirt-bike,head,7,images/add/0110_add_source.jpg,images/add/0110_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00008/000085308.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00008_000085308_0_dirt-bike.png,"[893, 711]","[1288, 806]","[500, 139, 1682, 1352]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
111,add,hands,hands,head,21,images/add/0111_add_source.jpg,images/add/0111_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00005/000059054.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00005_000059054_0_hands.png,"[167, 1307]","[451, 1402]","[0, 871, 618, 1812]","{""height"": 1875, ""width"": 2500}",1024x768,1024x768
112,add,branch,branch,head,4,images/add/0112_add_source.jpg,images/add/0112_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00037/000370967.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00037_000370967_0_branch.png,"[1087, 1385]","[1413, 1480]","[0, 1172, 2500, 1667]","{""height"": 1669, ""width"": 2500}",1024x683,1024x683
113,add,white dress,white-dress,head,17,images/add/0113_add_source.jpg,images/add/0113_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00021/000219028.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00021_000219028_0_white-dress.png,"[1365, 866]","[1907, 961]","[1223, 364, 2050, 1437]","{""height"": 1601, ""width"": 2400}",1024x683,1024x683
114,add,artwork,artwork,head,4,images/add/0114_add_source.jpg,images/add/0114_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00015/000157978.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00015_000157978_0_artwork.png,"[1352, 477]","[1702, 572]","[1357, 310, 1697, 713]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
115,add,camper van,camper-van,head,8,images/add/0115_add_source.jpg,images/add/0115_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00012/000125917.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00012_000125917_0_camper-van.png,"[199, 811]","[765, 906]","[158, 684, 807, 1006]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
116,add,face,face,head,13,images/add/0116_add_source.jpg,images/add/0116_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00029/000293518.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00029_000293518_0_face.png,"[901, 513]","[1107, 608]","[909, 423, 1099, 672]","{""height"": 1333, ""width"": 2000}",1024x682,1024x682
117,add,black seat,black-seat,head,7,images/add/0117_add_source.jpg,images/add/0117_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00029/000293921.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00029_000293921_0_black-seat.png,"[516, 605]","[1010, 700]","[604, 546, 923, 733]","{""height"": 1353, ""width"": 1920}",1024x721,1024x721
118,add,shells,shells,head,4,images/add/0118_add_source.jpg,images/add/0118_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00006/000064188.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00006_000064188_0_shells.png,"[1907, 647]","[2173, 742]","[1573, 331, 2508, 1032]","{""height"": 1864, ""width"": 2816}",1024x677,1024x677
119,add,motorboat,motorboat,head,9,images/add/0119_add_source.jpg,images/add/0119_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00031/000319793.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00031_000319793_0_motorboat.png,"[2935, 1967]","[3426, 2062]","[2014, 1510, 4349, 2493]","{""height"": 3744, ""width"": 5616}",1024x682,1024x682
120,add,plates,plates,head,55,images/add/0120_add_source.jpg,images/add/0120_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00039/000394177.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00039_000394177_0_plates.png,"[1098, 882]","[1382, 977]","[950, 808, 1531, 1024]","{""height"": 1429, ""width"": 2077}",1024x704,1024x704
121,add,drawers,drawers,head,3,images/add/0121_add_source.jpg,images/add/0121_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00024/000249333.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00024_000249333_0_drawers.png,"[1155, 1211]","[1523, 1306]","[1122, 1047, 1557, 1444]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
122,add,guitars,guitars,head,3,images/add/0122_add_source.jpg,images/add/0122_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00003/000035014.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00003_000035014_0_guitars.png,"[2095, 187]","[2421, 282]","[2121, 1, 2396, 441]","{""height"": 1668, ""width"": 2500}",1024x683,1024x683
123,add,Aston Martin sports car,Aston-Martin-sports-car,head,3,images/add/0123_add_source.jpg,images/add/0123_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00010/000109064.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00010_000109064_0_Aston-Martin-sports-car.png,"[395, 587]","[1525, 682]","[1, 26, 1920, 1216]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
124,add,bench,bench,head,17,images/add/0124_add_source.jpg,images/add/0124_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00022/000227924.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00022_000227924_0_bench.png,"[1212, 1079]","[1496, 1174]","[867, 788, 1842, 1439]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
125,add,aquatic plants,aquatic-plants,head,3,images/add/0125_add_source.jpg,images/add/0125_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00022/000225974.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00022_000225974_0_aquatic-plants.png,"[3411, 2496]","[4088, 2591]","[2637, 1929, 4864, 3132]","{""height"": 3264, ""width"": 4912}",1024x680,1024x680
126,add,benches,benches,head,3,images/add/0126_add_source.jpg,images/add/0126_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00024/000246895.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00024_000246895_0_benches.png,"[1796, 1349]","[2185, 1444]","[1570, 1133, 2412, 1633]","{""height"": 1800, ""width"": 2880}",1024x640,1024x640
127,add,roofs,roofs,head,5,images/add/0127_add_source.jpg,images/add/0127_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00022/000221467.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00022_000221467_0_roofs.png,"[412, 941]","[657, 1036]","[89, 850, 982, 1100]","{""height"": 1584, ""width"": 2376}",1024x682,1024x682
128,add,Cathedral,Cathedral,head,5,images/add/0128_add_source.jpg,images/add/0128_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00033/000339187.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00033_000339187_0_Cathedral.png,"[471, 755]","[920, 850]","[319, 144, 1073, 1435]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
129,add,beanie,beanie,head,12,images/add/0129_add_source.jpg,images/add/0129_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00008/000085180.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00008_000085180_0_beanie.png,"[4185, 916]","[4493, 1011]","[3087, 146, 5591, 1755]","{""height"": 4802, ""width"": 7195}",1024x683,1024x683
130,add,toy,toy,head,4,images/add/0130_add_source.jpg,images/add/0130_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00038/000386737.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00038_000386737_0_toy.png,"[1205, 613]","[1351, 708]","[751, 7, 1806, 1288]","{""height"": 1288, ""width"": 1936}",1024x681,1024x681
131,add,cup,cup,head,17,images/add/0131_add_source.jpg,images/add/0131_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00001/000019470.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00002_00001_000019470_0_cup.png,"[582, 1009]","[755, 1104]","[572, 890, 766, 1197]","{""height"": 1330, ""width"": 2000}",1024x680,1024x680
132,add,petals,petals,head,22,images/add/0132_add_source.jpg,images/add/0132_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00036/000365962.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00036_000365962_0_petals.png,"[2885, 526]","[3169, 621]","[2790, 146, 3264, 975]","{""height"": 2448, ""width"": 3264}",1024x768,1024x768
